module,layer,mse_awq,mse_dacq,winner
model_layers_8_self_attn_k_proj_awq,8,2.607432907097973e-05,2.7477683033794165e-05,AWQ
model_layers_8_self_attn_q_proj_awq,8,9.693165338831022e-06,6.376219516823767e-06,DACQ
model_layers_8_self_attn_v_proj_awq,8,1.862163685473206e-06,1.6078902262961492e-06,DACQ
model_layers_9_mlp_down_proj_awq,9,4.535724201559788e-06,2.35795664593752e-06,DACQ
model_layers_9_mlp_gate_proj_awq,9,1.1814378922281321e-05,5.604296347883064e-06,DACQ
model_layers_9_mlp_up_proj_awq,9,4.204219749226468e-06,2.6199024887318956e-06,DACQ
model_layers_9_self_attn_k_proj_awq,9,2.259852954011876e-05,2.329495873709675e-05,AWQ
model_layers_9_self_attn_q_proj_awq,9,8.69302857609e-06,6.034433681634255e-06,DACQ
model_layers_9_self_attn_v_proj_awq,9,3.0805019832769176e-06,2.7702465104084695e-06,DACQ
ALL,,0.001687786132330486,0.00014559998490907647,DACQ
